"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 10:24:39 GMT 2025","Thu Mar 20 10:25:01 GMT 2025","21479","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Thu Mar 20 10:23:41 GMT 2025","Thu Mar 20 10:24:38 GMT 2025","56998","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 20 10:25:02 GMT 2025","Thu Mar 20 10:25:12 GMT 2025","9795","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoURL","User should not be able to create buildType with empty Repo URL",""
"passed","Thu Mar 20 10:22:31 GMT 2025","Thu Mar 20 10:23:27 GMT 2025","55461","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 10:24:39 GMT 2025","Thu Mar 20 10:24:39 GMT 2025","3","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
