"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 09:38:09 GMT 2025","Thu Mar 20 09:39:07 GMT 2025","57975","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 20 09:36:53 GMT 2025","Thu Mar 20 09:37:53 GMT 2025","60276","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 09:39:08 GMT 2025","Thu Mar 20 09:39:28 GMT 2025","19999","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"skipped","Thu Mar 20 09:39:29 GMT 2025","Thu Mar 20 09:39:29 GMT 2025","0","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoURL","User should not be able to create buildType with empty Repo URL",""
"passed","Thu Mar 20 09:39:08 GMT 2025","Thu Mar 20 09:39:08 GMT 2025","10","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
"failed","Thu Mar 20 09:39:29 GMT 2025","Thu Mar 20 09:39:29 GMT 2025","0","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","afterTest","afterTest",""
