"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 10:52:19 GMT 2025","Thu Mar 20 10:53:17 GMT 2025","58078","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 20 10:51:07 GMT 2025","Thu Mar 20 10:52:03 GMT 2025","55957","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 10:53:18 GMT 2025","Thu Mar 20 10:53:41 GMT 2025","22470","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Thu Mar 20 10:53:18 GMT 2025","Thu Mar 20 10:53:18 GMT 2025","1","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
"passed","Thu Mar 20 10:53:42 GMT 2025","Thu Mar 20 10:53:52 GMT 2025","9848","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoURL","User should not be able to create buildType with empty Repo URL",""
