"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 10:24:02 GMT 2025","Thu Mar 20 10:24:02 GMT 2025","236","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithSameName","Project can not be created with already used name",""
"passed","Thu Mar 20 10:22:36 GMT 2025","Thu Mar 20 10:23:35 GMT 2025","59039","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 10:24:00 GMT 2025","Thu Mar 20 10:24:00 GMT 2025","199","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCopiesProjectWithNonExistentLocator","Project can not be copies from non existing project",""
"passed","Thu Mar 20 10:23:57 GMT 2025","Thu Mar 20 10:23:58 GMT 2025","1103","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Mar 20 10:24:00 GMT 2025","Thu Mar 20 10:24:00 GMT 2025","227","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProject","Project can be created by user",""
"passed","Thu Mar 20 10:24:01 GMT 2025","Thu Mar 20 10:24:01 GMT 2025","191","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyName","Project with empty name can not be created by user",""
"passed","Thu Mar 20 10:24:02 GMT 2025","Thu Mar 20 10:24:02 GMT 2025","251","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithSameId","Project can not be created with already used id",""
"passed","Thu Mar 20 10:23:59 GMT 2025","Thu Mar 20 10:23:59 GMT 2025","349","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","superUserCreatesProject","Project can be created by Super user",""
"passed","Thu Mar 20 10:23:54 GMT 2025","Thu Mar 20 10:23:54 GMT 2025","7","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Mar 20 10:23:54 GMT 2025","Thu Mar 20 10:23:54 GMT 2025","7","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Mar 20 10:24:02 GMT 2025","Thu Mar 20 10:24:02 GMT 2025","184","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithNonLatin","Project can not be created with non-latin id",""
"passed","Thu Mar 20 10:24:01 GMT 2025","Thu Mar 20 10:24:01 GMT 2025","190","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithLongId","Project can not be created with id bigger then 225 symbols",""
"passed","Thu Mar 20 10:24:01 GMT 2025","Thu Mar 20 10:24:01 GMT 2025","127","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameAndInvalidId","Project with empty name and invalid id can not be created by user",""
"passed","Thu Mar 20 10:24:00 GMT 2025","Thu Mar 20 10:24:01 GMT 2025","168","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyId","Project with empty id can not be created by user",""
"passed","Thu Mar 20 10:24:00 GMT 2025","Thu Mar 20 10:24:00 GMT 2025","169","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithCopyAllAssociatedSettingsFalse","Project with 'copyAllAssociatedSettings' = false can be created by user",""
"passed","Thu Mar 20 10:24:01 GMT 2025","Thu Mar 20 10:24:01 GMT 2025","155","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameAndEmptyId","Project with empty name and empty id can not be created by user",""
"passed","Thu Mar 20 10:23:54 GMT 2025","Thu Mar 20 10:23:57 GMT 2025","2426","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Mar 20 10:23:59 GMT 2025","Thu Mar 20 10:23:59 GMT 2025","142","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","nonAdminUserCreatesProject","Project can not be created by user with certain roles",""
"passed","Thu Mar 20 10:24:02 GMT 2025","Thu Mar 20 10:24:03 GMT 2025","191","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithUnderscoredId","Project can not be created with underscore in the beginning of id",""
