"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 10:40:21 GMT 2025","Thu Mar 20 10:40:47 GMT 2025","25244","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Thu Mar 20 10:39:20 GMT 2025","Thu Mar 20 10:40:20 GMT 2025","59757","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 20 10:40:48 GMT 2025","Thu Mar 20 10:40:58 GMT 2025","9765","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoURL","User should not be able to create buildType with empty Repo URL",""
"passed","Thu Mar 20 10:40:21 GMT 2025","Thu Mar 20 10:40:21 GMT 2025","1","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
"passed","Thu Mar 20 10:38:09 GMT 2025","Thu Mar 20 10:39:05 GMT 2025","55758","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
