"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 10:44:31 GMT 2025","Thu Mar 20 10:45:27 GMT 2025","55926","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 10:46:40 GMT 2025","Thu Mar 20 10:47:00 GMT 2025","20526","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Thu Mar 20 10:45:41 GMT 2025","Thu Mar 20 10:46:38 GMT 2025","56932","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 20 10:46:40 GMT 2025","Thu Mar 20 10:46:40 GMT 2025","3","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
"passed","Thu Mar 20 10:47:02 GMT 2025","Thu Mar 20 10:47:12 GMT 2025","10379","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoURL","User should not be able to create buildType with empty Repo URL",""
