"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 08:50:23 GMT 2025","Thu Mar 20 08:50:23 GMT 2025","188","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameAndInvalidId","Project with empty name and invalid id can not be created by user",""
"passed","Thu Mar 20 08:50:22 GMT 2025","Thu Mar 20 08:50:22 GMT 2025","133","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyName","Project with empty name can not be created by user",""
"passed","Thu Mar 20 08:50:24 GMT 2025","Thu Mar 20 08:50:24 GMT 2025","313","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithSameId","Project can not be created with already used id",""
"passed","Thu Mar 20 08:50:21 GMT 2025","Thu Mar 20 08:50:21 GMT 2025","139","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","nonAdminUserCreatesProject","Project can not be created by user with certain roles",""
"passed","Thu Mar 20 08:50:25 GMT 2025","Thu Mar 20 08:50:25 GMT 2025","196","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithUnderscoredId","Project can not be created with underscore in the beginning of id",""
"passed","Thu Mar 20 08:50:22 GMT 2025","Thu Mar 20 08:50:22 GMT 2025","226","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithCopyAllAssociatedSettingsFalse","Project with 'copyAllAssociatedSettings' = false can be created by user",""
"passed","Thu Mar 20 08:50:24 GMT 2025","Thu Mar 20 08:50:24 GMT 2025","318","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithNonLatin","Project can not be created with non-latin id",""
"passed","Thu Mar 20 08:50:21 GMT 2025","Thu Mar 20 08:50:21 GMT 2025","199","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCopiesProjectWithNonExistentLocator","Project can not be copies from non existing project",""
"passed","Thu Mar 20 08:50:17 GMT 2025","Thu Mar 20 08:50:17 GMT 2025","3","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Mar 20 08:50:22 GMT 2025","Thu Mar 20 08:50:23 GMT 2025","142","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameAndEmptyId","Project with empty name and empty id can not be created by user",""
"passed","Thu Mar 20 08:50:17 GMT 2025","Thu Mar 20 08:50:17 GMT 2025","10","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Mar 20 08:50:23 GMT 2025","Thu Mar 20 08:50:23 GMT 2025","590","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithLongId","Project can not be created with id bigger then 225 symbols",""
"passed","Thu Mar 20 08:50:22 GMT 2025","Thu Mar 20 08:50:22 GMT 2025","165","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyId","Project with empty id can not be created by user",""
"passed","Thu Mar 20 08:49:02 GMT 2025","Thu Mar 20 08:49:59 GMT 2025","56651","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 08:50:21 GMT 2025","Thu Mar 20 08:50:21 GMT 2025","107","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","superUserCreatesProject","Project can be created by Super user",""
"passed","Thu Mar 20 08:50:25 GMT 2025","Thu Mar 20 08:50:25 GMT 2025","312","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithSameName","Project can not be created with already used name",""
"passed","Thu Mar 20 08:50:17 GMT 2025","Thu Mar 20 08:50:20 GMT 2025","2286","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Mar 20 08:50:21 GMT 2025","Thu Mar 20 08:50:22 GMT 2025","190","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProject","Project can be created by user",""
"passed","Thu Mar 20 08:50:20 GMT 2025","Thu Mar 20 08:50:20 GMT 2025","488","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
