"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 20 08:51:31 GMT 2025","Thu Mar 20 08:51:31 GMT 2025","1","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","afterTest","afterTest",""
"passed","Thu Mar 20 08:49:03 GMT 2025","Thu Mar 20 08:49:59 GMT 2025","55591","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 08:51:10 GMT 2025","Thu Mar 20 08:51:30 GMT 2025","19147","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Thu Mar 20 08:51:10 GMT 2025","Thu Mar 20 08:51:10 GMT 2025","3","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
"passed","Thu Mar 20 08:50:12 GMT 2025","Thu Mar 20 08:51:09 GMT 2025","56348","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"skipped","Thu Mar 20 08:51:31 GMT 2025","Thu Mar 20 08:51:31 GMT 2025","0","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoURL","User should not be able to create buildType with empty Repo URL",""
