"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 10:17:28 GMT 2025","Thu Mar 20 10:17:41 GMT 2025","12764","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoURL","User should not be able to create buildType with empty Repo URL",""
"passed","Thu Mar 20 10:16:59 GMT 2025","Thu Mar 20 10:17:26 GMT 2025","26774","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Thu Mar 20 10:16:59 GMT 2025","Thu Mar 20 10:16:59 GMT 2025","7","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
"failed","Thu Mar 20 10:15:44 GMT 2025","Thu Mar 20 10:16:58 GMT 2025","73922","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 20 10:14:20 GMT 2025","Thu Mar 20 10:15:26 GMT 2025","66266","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
